name,industry
Aquaponica,Technology
Aquaponica,Food
Aquaponica,Agriculture
Argineering ,Manufacturing
Argineering ,Education
Argineering ,Technology
Argineering ,Marketing
Asknative,Social
Asknative,Mobile
Asknative,Lifestyle
Asknative,Content
Asknative,Tourism
Asknative,Marketing
Asknative,Mobile 
Asknative,E-commerce
Asknative,Web
Asknative,Travel
Asknative,Sharing Economy
Aya Games,Gaming
Aya Games,Mobile 
Azarir,Professional Services
Bees365,Technology
Bees365,Software
Bees365,Web
Benaa,Construction
BoonMarks,E-commerce
BoonMarks,Web
BoonMarks,Child Care
Buildink,Housing
Buildink,Construction
Buildink,Hardware
Buildink,Manufacturing
Buildink,3D Printing
Cardswitch,Mobile 
Cardswitch,Finance
Cardswitch,Data
Cardswitch,Technology
Careerise,Social Network
Careerise,Recruitment
Careerise,Web
Careerise,Technology
Carsurance,Finance
Carsurance,E-commerce
Carsurance,Marketing
Carsurance,Auto
Castspace,TV
Castspace,Film Production
Castspace,Social Network
ChqMate ,Mobile
ChqMate ,Restaurants
ChqMate ,Payments
ChqMate ,PoS
Cirqy,Social Network
Cirqy,Web
Cirqy,E-commerce
Cirqy,Apparel
CloudPress,Marketing
Codly,Mobile 
Codly,Technology
Codly,Design
CollectionAir,Art 
CollectionAir,E-commerce
CollectionAir,Marketing
Conative Labs ,Manufacturing
Conative Labs ,Fish Farming
Coterique,E-commerce
Coterique,Fashion
Crowdsway,TV
Crowdsway,Media
Crowdsway,Web
Crowdsway,Marketing
Crowdsway,Crowdsourcing
Crowdsway,Creative
Dabchy,E-commerce
Dabchy,Fashion
Dabchy,Web
Dabchy,Mobile 
Dabchy,Crowdsourcing
Dabchy,Social
Dabchy,Marketing
Dashroad,Data
Dedicated Developed Company,Sustainability
Dedicated Developed Company,Education
Deleor,Logistics
E-Cho,Aviation
E-Cho,Design
E-Cho,Software
E-Cho,Data
edume,Education
edume,Technology
EHF,Finance
EHF,Loans
EHF,Crowdsourcing
Ejadah,Technology
Ekshef,Health
Ekshef,Crowdsourcing
Ekshef,Content
Ekshef,Social Network
Ekshef,Web
Ella,Content
Elwafeyat,Social Network
ennota,Finance
Entej,Web
Entej,Social Network
Eshtery,E-commerce
Eshtery,Technology
Eshtery,Marketing
Eshtery,Web
Estickery,Design
Estickery,E-commerce
Estickery,Creative
Estickery,Web
Estickery,Art
F16Apps,Mobile 
F16Apps,Software
F16Apps,Creative
F16Apps,Social Network
Farminal,Technology
Farmtech,Agriculture
FeedSpeed,Mobile 
FeedSpeed,E-commerce
FeedSpeed,Software
FeedSpeed,Design
FeedSpeed,Professional Services
FinConnect,Communication
FinConnect,Banking
FinConnect,Finance
Flip Technologies,Technology
Flip Technologies,Data
Games Bond,Creative
Games Bond,Design
Games Bond,Mobile 
Games Bond,Education
Games Bond,Media
Games Bond,Gaming
GitHelp,Technology
Go Ejaza,Travel
Go Ejaza,Technology
Gorfah,Web
GST,Technology
GST,Agriculture
GST,Software
GST,Mobile 
GST,Data
Harmonica ,Data
